,image_id,question,answer
90,247604,What opbect is used to protect the eyes which doing water activities at this location?,goggle
91,550660,What is the elephant doing?,paint
92,83174,What are the seats behind the umpire called?,bleacher
93,19251,How do you care for this equipment?,wax
94,319996,Which are some color corrections needed in this photo?,brightener
95,6229,If one of the dogs falls off this apparatus will it likely float or sink?,float
96,77260,What is the complimentary color to the wall?,purple
97,403271,When was this sport invented?,1769
98,443752,What kind of doughnut is in this picture?,powdered
99,24702,Which first lady campaigned for healthier school meals?,michelle obama
100,240074,What can happen the objects shown are thrown on the ground?,break
101,1810,What was the machine beside the bowl used for?,timer
102,470770,What kind of cars are in the photo?,parked
103,461878,What loony tune character is in this photo?,tweety
104,300629,How many servings of this food does the average american consume yearly?,46
105,196035,What famous singer dances and sings while holding one of these?,gene kelly
106,198997,What is following the elephant?,baby elephant
107,392067,How old is the man with the receding hairline?,35
108,287854,What is the brand of the faucet?,moen
109,170406,What type of dog is this?,samoyed
110,115328,What kind of purple flours are growing in the background?,lavender
111,465060,What superhero is on the box?,batman
112,74183,What year was the sport played by this team invented?,1839
113,134169,What is the young school girl demonstrating something to the gentleman?,project
114,434951,What type of health condition would you say this cow is in?,starvation
115,243504,Is this a gerbil or hamster?,hamster
116,517985,Which essential food group is missing?,grain
117,30054,Id these birds?,sparrow
118,489986,What sort of portable item serves to move the air just like this ceiling item?,fan
119,381460,What type of shoes is the child wearing?,boot
120,436145,What style of window has an arch on top?,arch
121,237831,Whose birthday is being celebrated?,baby
122,236075,What's the brand of bus?,trailways
123,387759,Do the lanes in the picture run in the same or opposing direction?,same
124,443192,What position is this man sitting in?,recline
125,85483,What is the mouse attached to?,cord
126,571575,What kind of instruments are they playing?,tuba
127,421597,What is the object in the persons hand called?,pole
128,527314,What kind of architecture is shown?,greek
129,82860,What happened to these scissors?,bent
130,8176,What is the child wearing over their red shirt?,overall
131,74861,What kind of cargo do these train cars carry?,bag
132,291868,What does the bright red light on the vehicle mean?,brake
133,404221,Where is this?,lugg valley
134,360566,How tall is the mast on this boat?,10feet
135,490555,What would you use this room for?,watch tv
136,284454,What does it mean if this were to light up yellow?,slow down
137,161836,What is the compression ratio of the motor in this motorcycle?,10:1
138,152209,Where can that toilet seat be bought?,low
139,83407,What is this sign for?,stop
140,24257,Which item depicted here is also a kind of shoe?,platform
141,91858,What type of brightly colored bird is this?,peacock
142,42385,What famous mountain is in the background?,everest
143,75842,What do you call the kind of pants that the man on the right is wearing?,flannel
144,526196,What type of knife is being used to cut this apple?,pair
145,387102,What are the shapes around this cake?,star
146,443496,Is it easier to use chopsticks or cutlery?,cutlery
147,117428,What type of lights are on the ceiling?,track
148,152913,What is the main attraction presented in this picture?,lincoln park zoo
149,70702,What kind of day is this?,overcast
150,238687,Which asian american female won a gold medal in this sport?,chloe kim
151,4893,What activities are usually done here?,wash
152,192585,What kind of material is this floor made of?,linoleum
153,301591,How long did it take to make this?,10 minutes
154,534690,What breed are these dogs?,greyhound and boxer
155,516740,How fast is the train?,very fast
156,436878,How fast does this vehicle typically go?,80 mph
157,30643,Which movie starring gene kelley contained a famous muscial number with this item in?,sing in rain
158,510333,What is the animals offspring called?,foal
159,471647,Is this after or before school hours?,after
160,80386,What are two common cooking methods for this food?,fry bake
161,62057,How tall are these buses?,2 stories
162,246446,What sort of knee length plaid garment is associated with where this bus is?,kilt
163,167118,What does the sign in the reflection say?,1 way
164,276951,What type of dog is this?,border collie
165,232434,What kind of elephants are these?,asians
166,270166,How old is the baby giraffe?,6 months
167,70444,What should the cars be doing at this light?,go
168,155795,What type of drink is present in the photo?,margarita
169,217726,What did people ride during the pony express?,horse
170,321700,Who won the championship in this sport last year?,houston astros
171,363957,What room are they in and who is the politician?,oval office
172,350421,A peahen is the female variant of what metal creatures shown?,peacock
173,231542,Are these saltwater or freshwater fish?,saltwater
174,29274,Name the male's profession?,hair stylist
175,37326,What is the formal name of this type of drapery?,curtain
176,283913,Where is this scene usually seen?,las vegas
177,353723,How fast can this transportation vehicle go?,very fast
178,274562,What kind of necks do these animals have?,long
179,518071,What company is featured in this picture?,sprint
180,293366,What kind of craft are drifting along this waterway?,ship
181,380949,How long do the babies of this animal stay with their parent?,16 years
182,162646,What are the red veggies called that's on this tray?,tomato
183,553719,What is a baby of this animal called?,kitten
184,97367,What traveling device is being used?,trailer
185,502134,What cultural icon is referenced by the red suits?,santa
186,502379,What is the man in the middle selling?,bed
187,30175,In what state are these mountain ranges?,nevada
188,518866,What is the boat hook to so it doesn't float away?,anchor
189,553758,What is the percentage of families that have this amount of kids in them in the world?,41%
190,556811,In the wild is this animal more likely to be predator or prey?,prey
191,429491,Where is this photo taken from?,vehicle
192,460702,What is wrong with this picture?,dog drive
193,103059,What kind of flowers are in that vase?,tulip
194,439493,What radio station is on?,book radio
195,501307,What is a common stowaway in this product?,spider
196,226577,What material are these suits made of?,neoprene
197,458894,What kind of outfit is needed for this?,wet suit
198,200946,What does the graffiti on the sign say?,listen
199,146760,Name the type of wood used to make this table in this picture?,mahogany
200,216304,The tarmac that this vehicle is resting on leads to a place where it takes off called a what?,runway
201,474614,What is the menu at this restaurant?,taco
202,136951,Are these male or females or both?,both
203,387480,What level of baseball is this?,minor league
204,53275,How fast is the wind blowing?,10 mph
205,354392,Hotel room or tv room at home?,tv room at home
206,289852,What utensils are not pictured?,fork and knife
207,281330,What type of boats are these?,row
208,92353,What does the thing in the sky need for it to be aimed by the user?,string
209,480016,How is the dog carrying this?,mouth
210,45468,What kind of worker would clean up the paper towels?,janitor
211,537412,What type of train is pictured here?,passenger train
212,63166,Is this a formal or casual situation?,formal
213,516205,What topping is on the food?,rhubarb
214,182968,What is this on the wall?,oven
215,255124,Is this food item high or low in fat and calories?,high
216,535526,What sport is this vehicle used for?,offroading
217,107072,What was used to stain the boys' shirts?,fake blood
218,443693,Who invented this device?,frederick graff sr
219,183844,What types of hairs are pictured here in sets of 3?,whisker
220,24980,What happened to the train?,derailed
221,551746,What profession would need to be called if a fix is needed?,plumber
222,81416,Which type of road is the person riding on?,racetrack
223,36783,What does this land on?,runway
224,46356,What appliance would be used to dry these clothes quickly?,dryer
225,395830,What type of luggage is this?,carry on
226,192357,What type of flowers are these?,daffodil
227,68206,What is this fixture used for?,bath
228,103427,Note the most largest device in the photo what is apple's line of these devices called?,macbook
229,109835,What country do the numbers on the clock come from?,rome
230,283757,What is the childrens show that stars one of these?,thomas tank engine
231,161818,What is about to happen with these two people?,collision
232,248002,What is the main ingredient in this food?,flour
233,441263,What is the name of the song belonging to the lyrics?,bohemian rhapsody
234,149878,What would one use to get to the second level?,stair
235,467674,What was the use of the device beside the food?,tablet
236,546021,What kind of machine is this?,speaker
237,494622,What style of furniture is this table and example of?,antique
238,514725,If you had to guess what section of the school would this meal be eaten?,cafeteria
239,30163,What breed is that dog?,sheep dog
240,490099,What kind of sandwhiches are those?,sub
241,235168,Is this a men's or women's bathroom?,men
242,370945,What type of sunray is most dangerous that the item she is holding is attempting to block?,uv
243,81476,What is the name of the baby animals shown here?,cub
244,239654,What is the scientific name of the animals seen here?,feline
245,40449,What kind of mirror is that?,rearview
246,45230,What country will you find this market?,brazil
247,262099,What is the purpose of the cart?,carry bag
248,201714,What activity do people do on the green area in this picture for fitness and fun?,golf
249,385626,What kind of fruit is the helmet supposed to be?,watermelon
250,35248,Which form of entertainment is the person utilizing?,video game
251,379105,Is this a recreational or work activity?,recreational
252,528108,What kind of tennis stroke is this?,forehand
253,437774,What is the terrain in the background called?,hill
254,897,What is the texture of the snow in this picture?,packed
255,287512,What kind of vegatable topping is on the hotdog?,onion
256,181103,Which cake would you prefer to eat?,cheesecake
257,253332,What is the truck transporting?,garbage
258,400829,What is it called when the water arches like this?,wave
259,105252,What type of road or intersection is this sign making you aware of?,roundabout
260,164290,What is this man doing?,play wii
261,539617,Why is this person attired in thes type of clothes?,cold weather
262,447574,What is used to eat the food in the bowl?,spoon
263,140284,What kind of group is named by the word seen here?,osage
264,42804,Is this space crowded or spacious?,crowded
265,13169,What is a good side dish for this meal?,breadsticks
266,222659,In which cradle of civilization were animals of this type considered to be sacred?,egypt
267,240057,What language is sign?,korean
268,39686,What is this activity called?,wind surf
269,459152,Is this item more likely to taste sweet or salty?,sweet
270,501299,What describes that man as a office worker?,suit and tie
271,545071,Name the object used for putting nails in walls?,hammer
272,116831,Because it does not come from an electrical source the light in this room is said to be what kind of light?,natural
273,96466,Which animals are allowed in this park?,dog
274,78656,Is this a horse or pony?,pony
275,544623,Is this person getting dressed for an interview or a pool party?,interview
276,425944,What happened to the sheep?,died
277,65345,What is the average life span of this animal?,60 years
278,163716,What are the horses wearing?,blanket
279,330696,Why are the vehicles stopped?,red light
280,492286,What is this vehicle driving on?,rail
281,413585,What type of haircut is this called?,bang
282,112228,What breed of tree is growing outside the window?,willow
283,475984,What disney character uses the everyday accessory that can be seen in the photo to help her fly?,mary poppins
284,368827,What is the most popular brand of the pictured good?,dunkin donuts
285,336580,Why would one suspect that this is not chicago?,sign
286,409722,What is the clothing called that the surfer is wearing?,wet suit
287,526098,Which department in a store are these children in?,toy section
288,148480,The ads are for which company?,gucci
289,183882,What does the cellphone have that current cellphones don't?,button
290,441523,What vehicle is the dog inside?,van
291,561594,What recipe might you use the food on sale for?,banana bread
292,407047,What is the goal of this sport?,point
293,377044,What are the buildings called?,skyscraper
294,544913,Is this girl performing a forehand or a backhand?,forehand
295,466378,Are bananas typically stored in a fridge or room temperature?,room
296,11487,Can you tell me the kind of plant shown in this photo?,cactus
297,99539,What might be unsafe in this picture?,wire
298,570215,What are those for?,knit
299,456949,What kind of car is this?,antique
300,78307,What group of persons normally ride these vehicles?,biker
301,547422,What is the maker of these trucks?,volkswagen
302,82622,What is the name of the knot used in this photo?,sailor
303,119904,What has already happened to this food?,eaten
304,529624,When was this game first invented?,1873
305,362555,What size are the tires on that truck?,big
306,133874,How healthy is the grass in this photo?,very healthy
307,558303,What are the white stakes?,fence post
308,193977,What elements make of the elements of the molecules of the white surface that the child is in?,hydrogen and oxygen
309,390943,Is this lawn unkept or manicured?,unkept
310,425187,Who was the first to create one of these signs?,william phelps eno
311,117497,What type of palm tree is picured here t?,coconut
312,247504,What movie is the elephant from?,dumbo
313,397353,What is the minimum speed this plane must achieve to lift off from the ground?,150 mph
314,347736,On what two continents do these animals live in the wild?,asia and africa
315,45524,If these players stay outside and don't drink enough they could fall prey to what dangerous condition?,dehydration
316,25115,This fire hydrant is painted to resemble what?,face
317,422064,Name the type of paper material used to print this photo?,photo paper
318,311637,Are these cattle free or caged?,free
319,378896,Who wrote a popular rap song named after this vegetable?,dram
320,427610,Why might we suspect this plate is served at a restaurant?,presentation
321,130070,What is the role of the person who would sit in this desk?,student
322,384070,What is on the bush?,light
323,526514,What number did someone call?,911
324,5294,What position are these people sitting in?,crossed leg
325,394964,What type of street sign is shown in this image?,no turn
326,526663,What lens is being used here?,wide angle
327,378214,What is the man doing to the animal?,measure
328,404533,Who is the highest paid athlete of the sport played in this picture?,clayton kershaw
329,516167,What year is this truck?,1969
330,464856,What was that device used for?,phone call
331,49643,What kind of truck is this?,garbage
332,557659,What brand is being advertised?,pepsi
333,250434,Name a movie that included this type of animal?,dumbo
334,328898,What are the two items on the window called?,wiper
335,473590,How is the flavor of the frosting on the donut?,sweet
336,47221,What food truck are the people standing in line for?,taco
337,66737,What are the health benefits of this vegetable?,fiber
338,492243,Is this a flat screen or projection tv?,flat screen
339,211570,What do cops usually eat and drink in the mornings?,coffee and donuts
340,331629,What item are these vases displayed on?,shelf
341,179770,When you return a product and it must be placed back on the floor typically in spaces like these you might be charged a re what fee?,restock
342,535898,What walking aid is this man using?,cane
343,451842,What is the man swinging with his hands?,tennis racket
344,65135,Which kind of aeroplane is shown in this photo?,airbus
345,492648,What clothing does this person wear for this sport?,wet suit
346,217118,Where are these signs usually found?,street
347,2258,What is pulling this airplane?,tug
348,436070,What brand is shown here?,lexus
349,466591,Is this a half bath or a full bath?,full
350,81810,What are the brown objects over the windows?,blind
351,546723,What is the process called that denudes these animals of their covering?,shear
352,61400,Why does she need an umbrella?,it rain
353,204321,Where are these animals most commonly found?,farm
354,136943,Which group likes to ride these venicles?,biker
355,87217,What company produces the most of the cooking appliance in this photo?,ge
356,292730,What condiments are shown here?,ketchup and mustard
357,79146,What technique was used to cut these carrots?,julienne
358,234162,What us agency regulates vehicles like this?,faa
359,34523,What is a common condition that affects a person after they eat too much of this?,indigestion
360,417823,What species of animal is this?,egret
361,175421,Is the animal on the bench a predator or prey?,predator
362,442026,What drink is this?,whiskey
363,532155,Who invented this?,mozi
364,49378,What is the name of the object a baseball player wears on their hand to catch a baseball?,glove
365,258882,What kind of gas could be used to fill the balloons?,helium
366,157707,Where can i find a doughnut like this?,dunkin donuts
367,575252,Where is this taking place?,racetrack
368,86875,What is the difference between each picture?,daylight
369,77185,What is the name of the object used to fasten the luggage to the car?,strap
370,392330,What common breakfast food is often enjoyed with sliced up pieces of fruit such as is seen here?,cereal
371,186131,Are these items raw or cooked?,raw
372,118299,What brand is this?,whirlpool
373,76001,What is the weather?,foggy
374,478872,What celebration are these people attending?,mardi gras
375,355786,What sport is being played?,hockey
376,136394,How do you win the game that these guys play?,more run
377,146128,What do you call the yellow parts?,yolk
378,3602,In this country what numbers do you dial for emergencies?,911
379,169653,What is the function of the man in black?,referee
380,256981,Name the brand of the bicycle shown in this picture?,schwinn
381,555237,Where was the green thing pictured invented?,philadelphia
382,146620,What are the decorations hanging on the walls?,paint
383,111280,What could you enter through?,door
384,552374,What type of camera is that?,digital
385,194701,What type of flower is this?,tulip
386,275631,What style of architecture is pictured in this photo?,gothic
387,376988,What is this brand famous for?,iphones
388,233647,What are the animals doing?,perform
389,79258,Why do people use this kind of transportation?,fun
390,498782,Why is this person using their foot?,sanitary
391,301427,What are the steps to put on the red article of clothing?,tie it
392,63263,What are the plate on the ground of this game?,base
393,401688,What type of flowers are on this bus?,sunflower
394,39455,What is this dish called?,egg benedict
395,265114,What sort of windows does this porch have?,tall
396,73892,What war was this fighter plane famous for its use in?,ww2
397,400134,Which wild animal that hunts in packs is related to this animal seen here?,wolf
398,328853,What is the white grainy substance in this image?,rice
399,514666,What utensil is on the plate?,spoon
400,522946,What hemisphere is this location?,southern
401,14546,What does the rope on the end of the surfboard do?,attach to surfer
402,483305,What types of seasonings are on the table?,salt and pepper
403,481885,What are these people doing?,fly kite
404,568455,How long would it have taken for this animal to walk after being born?,immediately
405,488889,Why would we suspect that this park is dedicated to the sport seen here?,ramp
406,447511,Why are these vehicles paused?,red light
407,320217,What body of water is this?,atlantic
408,426778,What is supposed to go here?,dish
409,559652,What is the most popular brand of the appliance shown?,kenmore
410,486002,What substance are these items sitting on?,pavement
411,463665,What type of bird is in this photo?,stork
412,129722,What type of shoes is this player wearing?,cleat
413,357837,Was the technology this person is using invented in the past decade or earlier?,earlier
414,270234,Where do jockeys keep their horses?,barn
415,306554,Which type of cotton is used for making this cloth?,yarn
416,569747,What do the red street signs mean?,wrong way
417,293233,Why does this man have a number on his shirt?,uniform
418,47544,Who makes that microwave?,ge
419,125693,Who invented this?,mozi and lu ban
420,250920,What is the airplane landing on?,runway
421,497622,Is this closer to a vehicle in the complete franchise of top gun both canon and non canon or closer to a vehicle in the x men franchise both canon and non canon?,top gun
422,427069,What city are these streets located in?,berlin
423,406807,What kind of store is this?,electron
424,527073,Who invented the stuffed animal in the picture?,morris michtom
425,505713,What is the thing on the wall used for?,reflection
426,197029,What activity is engaged in this picture?,chop
427,40938,What was the man trying to do with the stick?,hit ball
428,480464,What is front of this horse?,door
429,204505,Is the truck a modern vehicle or an antique?,antique
430,160259,How large is the television screen?,thirty 2 inch
431,65448,What model of phone is this?,razor
432,166069,What does the man with the frisbee's back tattoo represent?,peace
433,151731,What device is normally used to lead these animals?,lead rope
434,98549,What type of luck is this animal associated with?,bad
435,237538,Who was the pilot who landed one of these on the hudson river?,sully
436,367260,What types of birds are those?,pidgeons
437,280808,Which of the seven deadly sins has the same name as an item seen here?,vanity
438,62216,Are there an even number of wheels or an odd number of wheels in this parking lot?,even
439,314064,What city is this?,seattle
440,471558,Is the player serving or hitting the ball?,hit
441,527624,What does this horse have on its back?,blanket
442,519356,What is the largest competition for this sport?,o'neill world cup of surf
443,89147,What brand of chips are shown in the background?,lay
444,553038,What zoo is this?,san diego
445,411475,What should be done if this animal is encountered?,run
446,421689,What would the cat's claws destroy?,furniture
447,303992,This sport is called who's passtime?,americas
448,202522,When were these transportation vessels first created?,8200bc
449,359917,What type of bird is this?,bluebird
450,281288,How was that device powered?,battery
451,452457,What is this man landing on?,home plate
452,496977,What is that device used for?,compute
453,264699,How long will it take them to drink this coffee?,forever
454,516799,What is the man wearing?,shirt and tie
455,487824,Which of the items in this dish might be collected underground?,green bean
456,341963,Can you tell me in which area this variety of cows are seen?,midwest
457,458931,What famous bear character from children's books does this look like?,winnie pooh
458,529532,What is the giraffe on the ground doing?,rest
459,167863,How long does it take to prepare the main item in the picture?,hour
460,33488,What team is the batter from?,white sox
461,310450,What sort of device was likely used to make the shaped edibles?,cookie cutter
462,319594,What type of fish are in this picture?,sardine
463,141160,What kind of artistry in this?,pottery
464,269847,What kind of trees are pictured?,elm
465,69809,Is this country rich or poor?,poor
466,461445,Are these different animals in this picture or all they all the same animal?,different
467,250223,What are the females of this species of animal called?,ewe
468,393086,What kind of people ride in this?,commuter
469,517632,Where are these wind turbines located?,kansas
470,304384,A knife that has a blade like this one is called a what kind of knife?,serrated
471,225709,Is this a good example of a sea creature or land creature?,land
472,277292,How much does this type of vehicle cost to build?,million
473,387105,What stage of life are these birds in?,infant
474,307552,In what year was this food item first created?,1889
475,453096,What style of motorcycles are pictured here?,chopper
476,83219,What powers the front most vehicle?,feet
477,430610,What might this man be shouting while running towards his destination?,yeah
478,541702,What kind of airplane is this?,private jet
479,18661,What does the yellow m stand for?,mcdonalds
480,561082,In what style is the protein in this dish cooked?,sunny side up
481,418935,What does the weather seem like?,stormy
482,105605,Which famous disney host animal also wears gloves not unlike these shown here?,mickey mouse
483,88499,This type of animal is famous for seeing under what sort of conditions?,dark
484,31434,What is the title commonly given to the man wearing the red tie and green vest?,bartender
485,314378,The woman in this scene is touching an item usually worn on what part of the body?,foot
486,292763,Where is this plane heading next?,las vegas
487,375802,The colors in this photo mixed together create what color?,light blue
488,49495,What is wrong with this sign?,upside down
489,464616,How much does this creature weigh on average?,ton
490,473372,What brand are the clementines?,halo
491,173198,What type of emergencies do these group of people respond to?,fire
492,293086,What name do you give to a boat dockage?,dock
493,294084,What is this vehicle called when it is being ridden by the president?,private jet
494,25784,Why would someone do that?,fun
495,237385,What type of skiing is going on here?,cross country
496,465213,People sit here and put on their makeup what is this type of desk called?,vanity
497,16556,What kind of trick is this skater performing?,kickflip
498,181413,What breed are these two dogs?,doberman
499,46580,What kind of book is the boy reading?,novel
500,353997,Are these fruits or fish?,fruit
501,571774,How much does this animal usually weigh?,300 pounds
502,40930,To what type of business does that white car belong?,taxi
503,203989,Why skates hobby or work?,hobby
504,449238,What effect would be experienced from too much of the beverage?,drunk
505,201419,What is the meat used in this sandwhich?,meatloaf
506,188510,A human being in this age bracket is called a what?,toddler
507,307280,What are the people called that race these animals for a living?,jockey
508,444235,What transport company owns this bus?,smrt
509,548702,What is this fruit famous for?,health
510,318528,Was this photo taken inside or outside?,inside
511,369631,The shown fruit is good for which parts of the body?,teeth
512,164569,What formation of planes is this?,square
513,152299,What is keeping the dog from running away?,leash
514,155162,Where could you wash your hands?,sink
515,437994,What is floating under the bridge that's white with feathers?,swan
516,499913,What kind of equipment is under the banana?,telephone
517,432762,What park has the most benches in the world?,central park
518,542444,Who is famous for playing this sport?,oscar potting
519,422336,How many of these kinds of establishments are there in the united states?,thousand
520,147568,Who were here but are now gone?,team
521,494678,What is the rope attached to the dog called?,leash
522,78286,What is painted on the road?,crosswalk
523,34645,What species of hourse is in this photo?,thoroughbred
524,437605,What is the man on?,sled
525,355458,What do you think this person's ethnicity is?,hispanic
526,228876,Why does he have two shadows?,light
527,213405,What outfit do you wear for this sport?,ski suit
528,327191,What is this room used for?,shower
529,529780,What possible events is the aircraft in the picture engaged in?,taxi
530,279089,What kind of bed is pictured?,twin
531,414555,The baby of this animal is called what?,calf
532,269827,Is this a rich or poor part of the world?,poor
533,214800,Is that a pc or mac?,mac
534,291321,What appliance is this a picture of?,toaster
535,225645,What is the name of this hairstyle?,afro
536,526922,What is the name for what is happening in this picture?,traffic jam
537,436410,The white twisty things are called what?,rotini
538,119799,What event is he skiing for?,race
539,61819,What are the wings on this used for?,flight
540,424536,What component in human skin allows it to darken with the sun like the woman's on the right has?,melanin
541,380447,The name on the jacket is the name of a character in which 90s tv show?,friend
542,206841,What do you do after you blow out the items in the image?,make wish
543,465204,What are these spoons used for?,measure
544,11326,What tractor company has a signature color similar to the bus?,john deere
545,197663,What is the most popular type of this drink?,chardonnay
546,451036,Where is the boat at?,alaska
547,333066,Is this a homosexual or heterosexual relationship?,heterosexual
548,53131,What toppings are on this hot dog?,ketchup and relish
549,196205,What will this plane do?,take off
550,515053,What electric instrument is shown?,microphone
551,13468,What type of sandwich is this?,ruben
552,442154,How do mirrors distort light?,reflection
553,23803,How many calories per piece?,400
554,432598,Is this a girl or boy room?,girl
555,179753,What does one need to fly this vehicle?,license
556,157424,What do you call the things on the feet of these men?,snowshoe
557,251860,What is the fastest one on earth?,bullet
558,556112,What is the proper term for the woman riding the horse?,jockey
559,118081,What does this sign show?,direct
560,220989,When was this sport invented?,1839
561,334352,What do you commonly do near this body of water?,tan
562,359897,What creatures live in these dwellings?,human
563,210861,What brand of truck is this?,kenworth
564,293489,What type of vegetable is in the bowl?,zucchini
565,560254,What is the blue item called?,bus stop
566,5312,How is the grass cut?,short
567,267126,What breed is this?,pinto
568,29096,What type of environment is in this picture?,desert
569,431696,What is the name of the mountains in this photo?,rockies
570,343066,Who invented this?,garrett morgan
571,273081,What kind of meat is that?,pork
572,491400,Why is this person holding an umbrella?,for shade
573,115911,How tall is the batter?,5'10
574,115917,What does this gesture mean?,good game
575,322095,What does this animal use it's long appendage for?,drink water
576,379064,Name the bike brand shown in this picture?,bmw
577,276365,What is the person wearing on their back?,backpack
578,506965,What is the green fruit on the plate?,kiwi
579,335860,What is strange about these bananas?,face
580,351404,What is this food's orgin?,south america
581,265544,What states do these highways pass through?,minnesota
582,513744,Why might there be multiple of these items?,multiple people
583,477636,What year were these first ever flown?,1903
584,26132,What brand jeans is the woman wearing?,lee
585,12567,What are the other roads that buses can travel without cars?,bus lane
586,51281,What is the cat looking through?,window
587,482940,Do these bags belong to a tour group or are they on sale?,sale
588,243846,What company does this plane belong to?,british airway
589,477475,What is the pink item in the pocket called?,handkerchief
590,12428,How long will this need to cook?,0 minutes
591,183321,What makes that liquid look blue?,algae
592,122834,What type of motorcycles are these?,sport bike
593,392474,Why does he have glasses on?,to see
594,491229,What is the man doing?,travel
595,569827,What is this kind of vehicle called?,cherry picker
596,97311,What is covering the animals' bodies?,fur
597,445621,How old is the kid riding the skateboard?,17
598,50429,What is this player doing?,pitch
599,186906,What type of photo is this man taking?,selfie
600,79021,What breed of dogs are these?,mixed
601,463625,What is the meaning of the white flowers in this arrangement?,purity
602,42756,How do you make the purple object fly far?,throw it
603,540321,What is the electronic device doing in this photo?,charge
604,557387,How much is the honking penalty?,350
605,506136,What is the bun topped with?,onion
606,277688,Where would you find this type of transportation?,pennsylvania
607,489028,What utensils are in the picture?,spoon
608,443243,What emotions do you think she is feeling?,boredom
609,176403,What is the man wearing?,leather jacket
610,320234,What is the likely relationship between these people?,father and son
